event_id,dataset_role,primary_evaluations,fallback_evaluations,safe_stop_escape_evaluations,cached_same_input_reuses,r3_evaluations_total,gqsc_s1_evaluations_total,non_escape_fallback_evaluations,outcome
DVE035,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE036,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
DVE037,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE038,DEVELOPMENT,1,0,0,0,1,1,0,FRESH_SELECTED
DVE039,DEVELOPMENT,1,2,2,1,3,3,0,NO_SAFE_PATH
DVE040,DEVELOPMENT,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE001,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE002,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE003,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE004,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE005,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE006,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE007,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE008,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE009,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE010,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE011,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE012,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE013,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE014,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE015,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE016,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE017,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE018,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE019,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE020,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE021,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE022,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE023,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE024,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE025,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE026,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE027,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE029,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE030,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE031,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE032,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE033,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE034,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE035,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
VUE036,VALIDATION_SEEN_AFTER_V1,1,0,0,0,1,1,0,FRESH_SELECTED
VUE037,VALIDATION_SEEN_AFTER_V1,1,1,1,1,2,2,0,NO_SAFE_PATH
SCE001,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE002,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE003,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE004,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE005,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE006,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE007,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE008,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE009,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE010,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE011,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE012,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE013,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE014,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE015,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE016,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE017,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
SCE018,SUCCESS_CONTROL_SEEN,1,0,0,0,1,1,0,FRESH_SELECTED
