development_event_id,oracle_valid_in_full_development_oracle,mechanism_class,template_primary_class,BASELINE_PRODUCTION__recovered,BASELINE_PRODUCTION__candidates,BASELINE_PRODUCTION__validators,BASELINE_PRODUCTION__hard_valid,A_EXISTING_D_MID_POOL__recovered,A_EXISTING_D_MID_POOL__candidates,A_EXISTING_D_MID_POOL__validators,A_EXISTING_D_MID_POOL__hard_valid,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__recovered,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__candidates,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__validators,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL__hard_valid,B_CROSS_PAIR_TRANSITIONS__recovered,B_CROSS_PAIR_TRANSITIONS__candidates,B_CROSS_PAIR_TRANSITIONS__validators,B_CROSS_PAIR_TRANSITIONS__hard_valid,AB_EXISTING_FACTOR_BASIS__recovered,AB_EXISTING_FACTOR_BASIS__candidates,AB_EXISTING_FACTOR_BASIS__validators,AB_EXISTING_FACTOR_BASIS__hard_valid,AB_DEV_COUNTERFACTUAL__recovered,AB_DEV_COUNTERFACTUAL__candidates,AB_DEV_COUNTERFACTUAL__validators,AB_DEV_COUNTERFACTUAL__hard_valid,FULL_LxT_DEV_UPPER_BOUND__recovered,FULL_LxT_DEV_UPPER_BOUND__candidates,FULL_LxT_DEV_UPPER_BOUND__validators,FULL_LxT_DEV_UPPER_BOUND__hard_valid
DVE011,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0
DVE012,True,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,30,30,0,False,74,74,0,False,30,30,0,True,667,667,27,True,1305,1305,27,True,667,667,27,True,2146,2146,519
DVE013,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,4,4,0,False,4,4,0,False,4,4,0,False,4,4,0,False,4,4,0,False,4,4,0,False,4,4,0
DVE014,True,D_PROBE_DOMINANT,,False,9,9,0,False,15,15,0,False,9,9,0,False,32,32,0,False,56,56,0,False,32,32,0,True,152,152,22
DVE015,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,2,2,0,False,2,2,0,True,4,4,2,False,2,2,0,False,2,2,0,True,4,4,2,True,474,474,472
DVE016,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,7,7,0,False,7,7,0,False,7,7,0,False,12,12,0,False,12,12,0,False,12,12,0,False,12,12,0
DVE017,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,2,2,0,False,2,2,0,True,4,4,2,False,2,2,0,False,2,2,0,True,4,4,2,True,1606,1606,1604
DVE018,True,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,9,9,0,False,15,15,0,False,9,9,0,True,32,32,6,True,56,56,6,True,32,32,6,True,416,416,194
DVE019,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,5,5,0,True,7,7,2,True,7,7,2,False,6,6,0,True,8,8,2,True,8,8,2,True,246,246,240
DVE020,True,OTHER,,False,3,3,0,False,5,5,0,False,3,3,0,False,4,4,0,False,6,6,0,False,4,4,0,True,362,362,288
DVE021,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0
DVE022,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,2,2,0,False,2,2,0,True,4,4,2,False,2,2,0,False,2,2,0,True,4,4,2,True,230,230,168
DVE023,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,2,2,0,False,2,2,0,True,4,4,2,False,2,2,0,False,2,2,0,True,4,4,2,True,102,102,100
DVE024,True,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,30,30,0,False,64,64,0,False,30,30,0,True,522,522,26,True,1015,1015,26,True,522,522,26,True,1885,1885,387
DVE025,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,7,7,0,False,7,7,0,False,7,7,0,False,12,12,0,False,12,12,0,False,12,12,0,False,12,12,0
DVE026,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0
DVE027,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,8,8,0,False,12,12,0,False,8,8,0,False,24,24,0,False,36,36,0,False,24,24,0,False,24,24,0
DVE028,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0
DVE029,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,30,30,0,False,70,70,0,True,32,32,2,True,609,609,2,True,1189,1189,2,True,638,638,6,True,1885,1885,86
DVE030,True,OTHER,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,True,226,226,224
DVE031,True,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,9,9,0,False,15,15,0,False,9,9,0,True,32,32,2,True,56,56,4,True,32,32,2,True,440,440,70
DVE032,True,OTHER,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,True,10,10,8
DVE033,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0,False,2,2,0
DVE034,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,6,6,0,False,10,10,0,False,6,6,0,False,15,15,0,False,25,25,0,False,15,15,0,False,15,15,0
DVE035,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,8,8,0,False,10,10,0,False,8,8,0,False,16,16,0,False,24,24,0,False,16,16,0,False,16,16,0
DVE036,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,7,7,0,False,7,7,0,False,7,7,0,False,18,18,0,False,18,18,0,False,18,18,0,False,18,18,0
DVE037,True,OTHER,,False,3,3,0,False,5,5,0,False,3,3,0,False,4,4,0,False,6,6,0,False,4,4,0,True,506,506,464
DVE038,True,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,2,2,0,False,2,2,0,True,3,3,1,False,2,2,0,False,2,2,0,True,4,4,1,True,1418,1418,1264
DVE039,True,S_PROBE_DOMINANT,,False,18,18,0,False,30,30,0,False,18,18,0,False,96,96,0,True,168,168,2,False,96,96,0,True,7440,7440,1052
DVE040,False,NO_VALID_P3_IN_ORACLE_DOMAIN,,False,7,7,0,False,7,7,0,False,7,7,0,False,12,12,0,False,12,12,0,False,12,12,0,False,12,12,0
