bag_path_a,bag_path_b,evidence_stages,exact_duplicate_confirmed,content_hash_performed,automatic_action
/home/sungho/.local/share/Trash/files/rosbag_20260725_012659,/home/sungho/.local/share/Trash/files/rosbag_20260726_001824,STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0726_181747 (Copy),/home/sungho/.local/share/Trash/files/run_0726_181747,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_143853,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_143853,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_144426,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_144426,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_145055,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_145055,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_150603,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_150603,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_151954,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_151954,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_153852,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_153852,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_160336,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_160336,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_160913,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_160913,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_162029,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_162029,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_165428,/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_165428,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
