path,name,priority_labels,reason,research_priority_score,automatic_action
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16,Copy of rosbag2_2026_08_24-13_42_16,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY;POSSIBLE_DUPLICATE,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs | matched staged name and/or metadata/size/topic signature; no deletion implied,140,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16.2,Copy of rosbag2_2026_08_24-13_42_16.2,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY;POSSIBLE_DUPLICATE,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs | matched staged name and/or metadata/size/topic signature; no deletion implied,140,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_24-13_42_16,rosbag2_2026_08_24-13_42_16,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY;POSSIBLE_DUPLICATE,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs | matched staged name and/or metadata/size/topic signature; no deletion implied,140,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-08_50_21,rosbag2_2026_08_16-08_50_21,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-09_33_00,rosbag2_2026_08_16-09_33_00,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-09_47_06,rosbag2_2026_08_16-09_47_06,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-10_23_05,rosbag2_2026_08_16-10_23_05,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-10_59_58,rosbag2_2026_08_16-10_59_58,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-11_13_21,rosbag2_2026_08_16-11_13_21,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-11_16_04,rosbag2_2026_08_16-11_16_04,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-11_26_49,rosbag2_2026_08_16-11_26_49,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-11_28_28,rosbag2_2026_08_16-11_28_28,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-13_13_13,rosbag2_2026_08_16-13_13_13,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_16-13_20_09,rosbag2_2026_08_16-13_20_09,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_17-01_55_01,rosbag2_2026_08_17-01_55_01,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_17-10_18_51,rosbag2_2026_08_17-10_18_51,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_17-13_01_59,rosbag2_2026_08_17-13_01_59,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_17-16_17_49,rosbag2_2026_08_17-16_17_49,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_17-16_45_06,rosbag2_2026_08_17-16_45_06,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_18-11_09_51,rosbag2_2026_08_18-11_09_51,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_18-18_47_51,rosbag2_2026_08_18-18_47_51,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_18-18_48_11,rosbag2_2026_08_18-18_48_11,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_18-18_48_28,rosbag2_2026_08_18-18_48_28,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_18-19_41_22,rosbag2_2026_08_18-19_41_22,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_18-19_47_54,rosbag2_2026_08_18-19_47_54,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_18-19_51_40,rosbag2_2026_08_18-19_51_40,PRIORITY_PLANNING_REPLAY;HISTORICAL_REFERENCE,has obstacle+global+Frenet replay inputs | recording name is in requested P3 development window,105,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153231,frenet_jump_20260728_153231,PRIORITY_LOCALIZATION_STRESS,explicit frenet_jump stress group; inspect actual localization/Frenet topics,100,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_155119,frenet_jump_20260728_155119,PRIORITY_LOCALIZATION_STRESS,explicit frenet_jump stress group; inspect actual localization/Frenet topics,100,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_155301,frenet_jump_20260728_155301,PRIORITY_LOCALIZATION_STRESS,explicit frenet_jump stress group; inspect actual localization/Frenet topics,100,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_24-16_31_14,rosbag2_2026_08_24-16_31_14,PRIORITY_RECENT_COMPETITION,recording name is in requested 2026-08-24..26 window,90,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55,Copy of rosbag2_2026_08_24-13_30_55,PRIORITY_RECENT_COMPETITION;POSSIBLE_DUPLICATE,recording name is in requested 2026-08-24..26 window | matched staged name and/or metadata/size/topic signature; no deletion implied,80,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55.2,Copy of rosbag2_2026_08_24-13_30_55.2,PRIORITY_RECENT_COMPETITION;POSSIBLE_DUPLICATE,recording name is in requested 2026-08-24..26 window | matched staged name and/or metadata/size/topic signature; no deletion implied,80,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153404,frenet_jump_20260728_153404,PRIORITY_LOCALIZATION_STRESS;INSUFFICIENT_TOPICS,explicit frenet_jump stress group; inspect actual localization/Frenet topics | lacks localization pose and/or complete planner replay inputs,70,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/avoid_test2,avoid_test2,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_19-11_59_44,rosbag2_2026_08_19-11_59_44,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_19-18_33_12.2,rosbag2_2026_08_19-18_33_12.2,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_21-05_31_31,rosbag2_2026_08_21-05_31_31,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_23-08_07_15,rosbag2_2026_08_23-08_07_15,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_001453,run_001453,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_025048,run_025048,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_034444,run_034444,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_062020,run_062020,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_063551,run_063551,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_080532,run_080532,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0814_131653,run_0814_131653,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_161657,run_161657,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_192006,run_192006,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_20260821_021635,run_20260821_021635,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_20260821_021805,run_20260821_021805,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_20260821_213754,run_20260821_213754,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_20260821_221931,run_20260821_221931,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_220742,run_220742,PRIORITY_PLANNING_REPLAY,has obstacle+global+Frenet replay inputs,60,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_143853,run_0805_143853,PRIORITY_PLANNING_REPLAY;POSSIBLE_DUPLICATE,has obstacle+global+Frenet replay inputs | matched staged name and/or metadata/size/topic signature; no deletion implied,50,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_143853,run_0805_143853,PRIORITY_PLANNING_REPLAY;POSSIBLE_DUPLICATE,has obstacle+global+Frenet replay inputs | matched staged name and/or metadata/size/topic signature; no deletion implied,50,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/avoid_test,avoid_test,PRIORITY_PLANNING_REPLAY;INSUFFICIENT_TOPICS,requested avoidance group; topic set is incomplete for current direct replay | lacks localization pose and/or complete planner replay inputs,30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_17-16_44_07,rosbag2_2026_08_17-16_44_07,HISTORICAL_REFERENCE;INSUFFICIENT_TOPICS,recording name is in requested P3 development window | lacks localization pose and/or complete planner replay inputs,15,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0726_181747,run_0726_181747,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0726_181747 (Copy),run_0726_181747 (Copy),POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_144426,run_0805_144426,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_144426,run_0805_144426,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_145055,run_0805_145055,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_145055,run_0805_145055,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_150603,run_0805_150603,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_150603,run_0805_150603,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_151954,run_0805_151954,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_151954,run_0805_151954,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_153852,run_0805_153852,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_153852,run_0805_153852,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_160336,run_0805_160336,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_160336,run_0805_160336,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_160913,run_0805_160913,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_160913,run_0805_160913,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_162029,run_0805_162029,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_162029,run_0805_162029,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1 (2)/run_0805_165428,run_0805_165428,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0805_1/run_0805_165428,run_0805_165428,POSSIBLE_DUPLICATE,matched staged name and/or metadata/size/topic signature; no deletion implied,-10,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files,files,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/jetson_rosbags/2026_IFAC/rosbag2_2026_07_20-20_50_01,rosbag2_2026_07_20-20_50_01,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/jetson_rosbags/f1tenth_ws/rosbag2_2026_07_20-20_50_29,rosbag2_2026_07_20-20_50_29,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag/rosbag2_2026_07_23-22_25_53,rosbag2_2026_07_23-22_25_53,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag/rosbag2_2026_07_23-22_28_43,rosbag2_2026_07_23-22_28_43,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_23-22_31_21,rosbag2_2026_07_23-22_31_21,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_23-22_41_11,rosbag2_2026_07_23-22_41_11,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_25-22_08_36,rosbag2_2026_07_25-22_08_36,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_25-22_08_50,rosbag2_2026_07_25-22_08_50,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_30-00_34_21,rosbag2_2026_07_30-00_34_21,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_03-14_36_18,rosbag2_2026_08_03-14_36_18,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_03-14_41_09,rosbag2_2026_08_03-14_41_09,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_03-14_43_48,rosbag2_2026_08_03-14_43_48,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_03-14_49_00,rosbag2_2026_08_03-14_49_00,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_29_34,rosbag2_2026_08_05-17_29_34,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_32_23,rosbag2_2026_08_05-17_32_23,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_34_00,rosbag2_2026_08_05-17_34_00,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_41_06,rosbag2_2026_08_05-17_41_06,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_42_50,rosbag2_2026_08_05-17_42_50,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_44_34,rosbag2_2026_08_05-17_44_34,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_47_21,rosbag2_2026_08_05-17_47_21,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_48_17,rosbag2_2026_08_05-17_48_17,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_52_29,rosbag2_2026_08_05-17_52_29,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_54_29,rosbag2_2026_08_05-17_54_29,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_58_27,rosbag2_2026_08_05-17_58_27,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-17_59_47,rosbag2_2026_08_05-17_59_47,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-18_05_24,rosbag2_2026_08_05-18_05_24,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-18_06_57,rosbag2_2026_08_05-18_06_57,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-18_08_44,rosbag2_2026_08_05-18_08_44,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-18_10_36,rosbag2_2026_08_05-18_10_36,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-18_11_22,rosbag2_2026_08_05-18_11_22,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag/rosbag_20260725_012816,rosbag_20260725_012816,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag/rosbag_20260725_013231,rosbag_20260725_013231,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0813_194311,run_0813_194311,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/run_0813_194631,run_0813_194631,INSUFFICIENT_TOPICS,lacks localization pose and/or complete planner replay inputs,-30,NONE_READ_ONLY
