event_id,dataset_role,frozen_stateless_parity_exact,gqsc_hard_valid_exists,fresh_ownership_success,evaluator_lifecycle_horizon_exact,same_input_continuation_success,guard_raw_path_preserved,dropout_continuation_success,prefix_trim_success,completion_success,new_blocker_invalidation_success,pair_proxy_count,reconstruction_count,validator_count,selected_path_digest,reason
DVE035,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE036,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,11,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE037,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,237b14031c68c366,POST_FIX_ALL_GATES_PASS
DVE038,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,128,12,12,5e5878151111a007,POST_FIX_ALL_GATES_PASS
DVE039,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
DVE040,DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
SCE001,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,a190d346d1dceee2,POST_FIX_ALL_GATES_PASS
SCE002,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,6252cf62c59fbf1b,POST_FIX_ALL_GATES_PASS
SCE003,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,fe720e33f9f57ef4,POST_FIX_ALL_GATES_PASS
SCE004,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,f5175dc0b94f8197,POST_FIX_ALL_GATES_PASS
SCE005,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,87602a80513d644a,POST_FIX_ALL_GATES_PASS
SCE006,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,6bc657c12b2f57d1,POST_FIX_ALL_GATES_PASS
SCE007,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,ef186819bb103426,POST_FIX_ALL_GATES_PASS
SCE008,SUCCESS_CONTROL_SEEN,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
SCE009,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,584a0ec9c1414856,POST_FIX_ALL_GATES_PASS
SCE010,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,0fcc29c91ebe70b9,POST_FIX_ALL_GATES_PASS
SCE011,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,1b84ec996100cb52,POST_FIX_ALL_GATES_PASS
SCE012,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,2f5ee152645aac1a,POST_FIX_ALL_GATES_PASS
SCE013,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,46ac316951745763,POST_FIX_ALL_GATES_PASS
SCE014,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,4e61dff796ee01f5,POST_FIX_ALL_GATES_PASS
SCE015,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,9b0526fbf1543c59,POST_FIX_ALL_GATES_PASS
SCE016,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,169fe9355120d70a,POST_FIX_ALL_GATES_PASS
SCE017,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,2e2ad2b472703636,POST_FIX_ALL_GATES_PASS
SCE018,SUCCESS_CONTROL_SEEN,1,1,1,1,1,1,1,1,1,1,128,12,12,5c97e86e4320738d,POST_FIX_ALL_GATES_PASS
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,128,12,10,e08dc6cd11cfc0b6,POST_FIX_ALL_GATES_PASS
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,128,12,11,566ca04653498df1,POST_FIX_ALL_GATES_PASS
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,128,12,12,0e80da04fd67df6e,POST_FIX_ALL_GATES_PASS
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
V2E05,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
V2E06,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
V2E07,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,1,1,1,1,1,1,1,1,1,1,128,12,12,8dd7ec9d69ccda2b,POST_FIX_ALL_GATES_PASS
V2E09,PILOT_SEEN_DEVELOPMENT_DATA,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE001,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE002,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE003,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE004,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,11,54d1dcfbccfb6742,POST_FIX_ALL_GATES_PASS
VUE005,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,1fe5aee2e5533c11,POST_FIX_ALL_GATES_PASS
VUE006,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,d5e23cc92a60f607,POST_FIX_ALL_GATES_PASS
VUE007,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,27f98bf62a6b2b58,POST_FIX_ALL_GATES_PASS
VUE008,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,11,fe77a7df463e3d24,POST_FIX_ALL_GATES_PASS
VUE009,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE010,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE011,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,6a1b79629e031da0,POST_FIX_ALL_GATES_PASS
VUE012,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE013,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,37b63f7febd7e276,POST_FIX_ALL_GATES_PASS
VUE014,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE015,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE016,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE017,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE018,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,98ccabf32fa2e493,POST_FIX_ALL_GATES_PASS
VUE019,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE020,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,814707825e82708f,POST_FIX_ALL_GATES_PASS
VUE021,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE022,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE023,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,11,f274578ba525e6e8,POST_FIX_ALL_GATES_PASS
VUE024,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,f77c9862d84a366d,POST_FIX_ALL_GATES_PASS
VUE025,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,90d5749d559fb39c,POST_FIX_ALL_GATES_PASS
VUE026,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,11,3c2c2e8b167ff096,POST_FIX_ALL_GATES_PASS
VUE027,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,10,d54c29b3b77176ad,POST_FIX_ALL_GATES_PASS
VUE028,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,c5befcfebed2d72d,POST_FIX_ALL_GATES_PASS
VUE029,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE030,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,b8731f9e01f2fd83,POST_FIX_ALL_GATES_PASS
VUE031,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE032,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,411e0416cb3c31b9,POST_FIX_ALL_GATES_PASS
VUE033,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,eadbb561675718b7,POST_FIX_ALL_GATES_PASS
VUE034,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,4a1d8e165d26386b,POST_FIX_ALL_GATES_PASS
VUE035,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
VUE036,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,128,12,12,e16d216d4ddd2d23,POST_FIX_ALL_GATES_PASS
VUE037,VALIDATION_SEEN_AFTER_V1,1,0,0,0,0,0,0,0,0,0,128,12,12,NONE,NO_FROZEN_HARD_VALID:GQSC_V3_FROZEN_ENTRY
