event_id,dataset_role,logical_probe_index,probe_role,ego_s,ego_d,ego_speed_mps,obstacle_snapshot_id,reference_snapshot_id,identical_geometry_input_to_primary,hard_valid_escape_exists,post_change_reused,changed_final_path_observed,changed_final_kind_observed,counterfactual_class,observed_effect,contract_role
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,1,REQUESTED_STOP_POINT,18.289292187730879,1.1225748368727917,0,obs_b5042bced6671b1c,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE011,DEVELOPMENT,1,REQUESTED_STOP_POINT,1.0085856107001545,0.069408926215322783,0,obs_5fcb200a230cc64c,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE013,DEVELOPMENT,1,REQUESTED_STOP_POINT,16.941458551083599,-0.012465254150380162,0,obs_2b67f71772681f26,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE016,DEVELOPMENT,1,REQUESTED_STOP_POINT,22.172031771694577,-0.9669925159671624,0,obs_b17e29f8c6f186ef,ref_4dc0768eb37d9590,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE021,DEVELOPMENT,1,REQUESTED_STOP_POINT,19.600732429259491,0.25039141234113049,0,obs_0dc355ca9f273167,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE023,DEVELOPMENT,1,REQUESTED_STOP_POINT,28.940258761991714,0.7328996045142494,0,obs_d7f0c434111f09b5,ref_3f5d487564f4ee3d,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE025,DEVELOPMENT,1,REQUESTED_STOP_POINT,23.138609523317559,-0.33729310614114622,0,obs_aaaf30524fba7386,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE026,DEVELOPMENT,1,REQUESTED_STOP_POINT,1.0219655075481469,0.023883519789027467,0,obs_03d9ab01ce2c7351,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE027,DEVELOPMENT,1,REQUESTED_STOP_POINT,10.272790924773464,-0.81573776321424873,0,obs_dd30c32c31e7a1fa,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE032,DEVELOPMENT,1,REQUESTED_STOP_POINT,0.98118320817439386,0.20151923796426296,0,obs_e69bc8ef6275e007,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE033,DEVELOPMENT,1,REQUESTED_STOP_POINT,0.99380573342460976,0.19086513023440893,0,obs_e9f5cedfc7870526,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE034,DEVELOPMENT,1,REQUESTED_STOP_POINT,17.043566844071393,-0.02845353887425944,0,obs_3c780f215805d16f,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE035,DEVELOPMENT,1,REQUESTED_STOP_POINT,17.126759640618875,-0.13085719454182937,0,obs_7b2a600b20339f57,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE036,DEVELOPMENT,1,REQUESTED_STOP_POINT,34.075004111402379,-0.027174803773587428,0,obs_115215a6c63e239b,ref_3f5d487564f4ee3d,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE039,DEVELOPMENT,1,REQUESTED_STOP_POINT,7.4132156408067935,-1.0634893075228096,0,obs_8ec9ea2fd542e9fd,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE039,DEVELOPMENT,2,EGO_ENDPOINT,4.3463452505166256,-1.0634893075228096,0,obs_8ec9ea2fd542e9fd,ref_4dc0768eb37d9590,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
DVE040,DEVELOPMENT,1,REQUESTED_STOP_POINT,23.042763550765667,-0.42773070797098517,0,obs_9425b8bcf9bb04e7,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE001,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,16.932348003332521,-0.025772911753660036,0,obs_dfd277f55a210ad3,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE002,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,16.972721080267789,0.012510667076417684,0,obs_f3029184bef1c0bc,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE003,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,17.147739072355403,-0.25027159106242902,0,obs_71200c8f0f07163f,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE009,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,1.0098807165280375,0.18825632143662868,0,obs_3b38a24c708168a1,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE010,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,0.97743539083711029,0.20853669021388152,0,obs_2e790aa29239985b,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE012,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,0.99164766480630795,0.19585256577145407,0,obs_8f663ccaa29bfd85,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE014,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,1.0304011807456008,0.033024527030291365,0,obs_b70ddb877537fb03,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE015,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,1.0011380746736391,0.2291608695999017,0,obs_5d18dec05dbadcd8,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE016,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,2.5995376910908163,-0.62194443813566214,0,obs_73339772cf7b7695,ref_3f5d487564f4ee3d,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE017,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,34.774550418797055,-0.65334668599072221,0,obs_d2a5208664987884,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE019,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,14.849219473890502,0.41869552579427294,0,obs_74922194e0a37067,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE021,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,10.458997190668992,-0.68969037410284895,0,obs_da7613204e196db2,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE022,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,1.4567736350262663,-0.40839759465745235,0,obs_56feb555f9f5311f,ref_3f5d487564f4ee3d,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE029,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,34.070519799821184,0.026689331803374676,0,obs_fdb56feeeefda968,ref_3f5d487564f4ee3d,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE031,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,22.179877616401622,-0.9604835143144046,0,obs_6f1d12cab6d372c2,ref_4dc0768eb37d9590,1,0,1,0,0,C_DUPLICATE_OR_REUSABLE,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE035,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,18.148455945981407,-0.68443504175448011,0,obs_a65f4f0d7db79abb,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
VUE037,VALIDATION_SEEN_AFTER_V1,1,REQUESTED_STOP_POINT,11.090407813677572,0.35370572906775338,0,obs_f0ece6a1484a0cf3,ref_4dc0768eb37d9590,0,0,0,0,0,E_FALLBACK_CONFIRMATION_ONLY,confirmed no hard-valid escape; final path/kind unchanged,stop-location resumability/liveness; not braking collision validation
